hour,total_crashes,avg_severity,severe_crashes,pct_severe
0,4814,0.629,1993,41.4
1,2241,0.579,831,37.1
2,1903,0.576,664,34.9
3,1701,0.544,549,32.3
4,1858,0.603,651,35.0
5,2009,0.54,728,36.2
6,2684,0.577,1100,41.0
7,3888,0.563,1568,40.3
8,5277,0.534,2044,38.7
9,4661,0.548,1801,38.6
10,4418,0.51,1643,37.2
11,4566,0.529,1809,39.6
12,4906,0.562,2007,40.9
13,5032,0.601,2117,42.1
14,5739,0.596,2443,42.6
15,5975,0.622,2630,44.0
16,6248,0.598,2719,43.5
17,6186,0.619,2784,45.0
18,5639,0.646,2591,45.9
19,4914,0.68,2334,47.5
20,4421,0.672,2037,46.1
21,4109,0.689,1898,46.2
22,3659,0.676,1588,43.4
23,3152,0.657,1328,42.1
