hour,total_crashes,avg_severity,severe_crashes,pct_severe
0,4820,0.628,1998,41.5
1,2249,0.581,839,37.3
2,1905,0.576,663,34.8
3,1699,0.553,550,32.4
4,1858,0.597,650,35.0
5,2002,0.536,721,36.0
6,2682,0.579,1098,40.9
7,3876,0.563,1562,40.3
8,5263,0.535,2035,38.7
9,4643,0.544,1791,38.6
10,4421,0.51,1641,37.1
11,4556,0.531,1808,39.7
12,4891,0.562,2004,41.0
13,5022,0.6,2109,42.0
14,5742,0.596,2444,42.6
15,6004,0.626,2644,44.0
16,6241,0.601,2713,43.5
17,6208,0.623,2806,45.2
18,5620,0.647,2587,46.0
19,4907,0.681,2326,47.4
20,4417,0.674,2039,46.2
21,4129,0.692,1915,46.4
22,3675,0.67,1587,43.2
23,3170,0.66,1341,42.3
