vehicle_type_code1,total_crashes,avg_severity,severe_crashes,pct_severe
STANDING S,512,1.074,118,23.0
MOTORCYCLE,1269,1.046,875,69.0
MOPED,925,1.01,781,84.4
BICYCLE,2747,0.979,2380,86.6
TANKER,72,0.764,24,33.3
TAXI,3183,0.691,1661,52.2
BUS,2072,0.626,745,36.0
SUV,33717,0.593,13396,39.7
SEDAN,45067,0.561,17560,39.0
CARRY ALL,136,0.559,41,30.1
VAN,673,0.544,243,36.1
SUBN,54,0.537,19,35.2
TRUCK,5121,0.534,1797,35.1
CONVERTIBLE,331,0.532,132,39.9
DUMP,338,0.482,93,27.5
LIMO,61,0.459,23,37.7
FLAT BED,167,0.377,41,24.6
GARBAGE OR REFUSE,289,0.356,60,20.8
PK,254,0.311,62,24.4
AMBULANCE,560,0.263,95,17.0
